Орлов, Александр, Петрович, мужской, 15 марта 1987, программист, Минск, Беларусь
Васильева, Мария, Игоревна, женский, 22 августа 1995, учительница, Москва, Россия
Сергеев, Дмитрий, Андреевич, мужской, 3 марта 1978, водитель, Новосибирск, Россия
Морозова, Анна, Сергеевна, женский, 10 июня 2000, медсестра, Гродно, Беларусь
Николаев, Михаил, Петрович, мужской, 29 ноября 1992, инженер, Казань, Россия
Попова, Елена, Владимировна, женский, 5 апреля 1985, бухгалтер, Витебск, Беларусь
Козлов, Артем, Олегович, мужской, 17 октября 2001, спортсмен, Брест, Беларусь
Соколова, Ольга, Романовна, женский, 31 июля 1999, дизайнер, Екатеринбург, Россия
Андреев, Кирилл, Дмитриевич, мужской, 25 февраля 1988, строитель, Гомель, Беларусь
Васильева, Татьяна, Евгеньевна, женский, 4 декабря 1996, продавец, Нижний Новгород, Россия
Михайлов, Роман, Валерьевич, мужской, 8 сентября 1994, программист, Могилёв, Беларусь
Николаева, Наталья, Сергеевна, женский, 20 января 1983, врач, Ростов-на-Дону, Россия
Павлов, Алексей, Викторович, мужской, 12 апреля 2003, программист, Гродно, Беларусь
Смирнова, Екатерина, Александровна, женский, 6 октября 1997, юрист, Калининград, Россия
Волков, Сергей, Дмитриевич, мужской, 23 мая 1989, учитель, Минск, Беларусь
Сергеева, Полина, Игоревна, женский, 19 февраля 2002, модель, Псков, Россия
Кузнецов, Дмитрий, Александрович, мужской, 30 июня 1991, архитектор, Витебск, Беларусь
Морозова, София, Викторовна, женский, 7 ноября 1998, актриса, Смоленск, Россия
Андреев, Максим, Олегович, мужской, 14 марта 2000, музыкант, Гродно, Беларусь
Павлова, Алина, Романовна, женский, 26 декабря 1995, журналист, Тверь, Россия
Николаев, Михаил, Петрович, мужской, 29 ноября 1992, программист, Минск, Беларусь
Васильева, Анна, Сергеевна, женский, 10 июня 2000, медсестра, Брянск, Россия
Орлов, Дмитрий, Андреевич, мужской, 3 марта 1978, инженер, Гомель, Беларусь
Попова, Мария, Игоревна, женский, 22 августа 1995, бухгалтер, Калининград, Россия
Козлов, Алексей, Олегович, мужской, 17 октября 2001, спортсмен, Витебск, Беларусь
Соколова, Екатерина, Романовна, женский, 31 июля 1999, дизайнер, Псков, Россия
Андреев, Кирилл, Дмитриевич, мужской, 25 февраля 1988, строитель, Смоленск, Россия
Васильева, Татьяна, Евгеньевна, женский, 4 декабря 1996, продавец, Тверь, Россия
Михайлов, Роман, Валерьевич, мужской, 8 сентября 1994, программист, Брянск, Россия
Николаева, Наталья, Сергеевна, женский, 20 января 1983, врач, Минск, Беларусь
Орлов, Александр, Петрович, мужской, 15 марта 1987, программист, Гродно, Беларусь
Васильева, Мария, Игоревна, женский, 22 августа 1995, учительница, Калининград, Россия
Сергеев, Дмитрий, Андреевич, мужской, 3 марта 1978, водитель, Псков, Россия
Морозова, Анна, Сергеевна, женский, 10 июня 2000, медсестра, Витебск, Беларусь
Николаев, Михаил, Петрович, мужской, 29 ноября 1992, инженер, Смоленск, Россия
Попова, Елена, Владимировна, женский, 5 апреля 1985, бухгалтер, Тверь, Россия
Козлов, Артем, Олегович, мужской, 17 октября 2001, спортсмен, Брянск, Россия
Соколова, Ольга, Романовна, женский, 31 июля 1999, дизайнер, Минск, Беларусь
Смирнова, Евгения, Игоревна, женский, 22 августа 2000, врач, Москва, Россия
Смирнова, Евгения, Игоревна, женский, 22 августа 2000, врач, Москва, Россия
Смирнова, Евгения, Игоревна, женский, 22 августа 2000, врач, Москва, Россия
Кузнецов, Дмитрий, Александрович, мужской, 30 июня 1991, архитектор, Витебск, Беларусь
Орлов, Дмитрий, Андреевич, мужской, 3 марта 1978, инженер, Гомель, Беларусь
Смирнова, Евгения, Игоревна, женский, 22 августа 2000, врач, Москва, Россия
Кузнецов, Дмитрий, Александрович, мужской, 30 июня 1991, архитектор, Витебск, Беларусь
Орлов, Дмитрий, Андреевич, мужской, 3 марта 1978, инженер, Гомель, Беларусь
Смирнова, Евгения, Игоревна, женский, 22 августа 2000, врач, Москва, Россия
Кузнецов, Дмитрий, Александрович, мужской, 30 июня 1991, архитектор, Витебск, Беларусь
Орлов, Дмитрий, Андреевич, мужской, 3 марта 1978, инженер, Гомель, Беларусь
