Иванов Иван Иванович, Группа 101
Петров Петр Петрович, Группа 102
Сидоров Сидор Сидорович, Группа 101
Козлова Анна Сергеевна, Группа 102
Смирнов Алексей Дмитриевич, Группа 101
Васильева Екатерина Андреевна, Группа 102
Кузнецов Денис Владимирович, Группа 101
Морозова Ольга Игоревна, Группа 102
Новиков Павел Александрович, Группа 101
Лебедева Татьяна Викторовна, Группа 102
Ковалевский Александр Викторович, Группа 201
Петрова Анастасия Сергеевна, Группа 202
Семенчук Дарья Игоревна, Группа 201
Жуковский Артем Андреевич, Группа 202
Савицкая Ольга Владимировна, Группа 201
Лукашенко Дмитрий Анатольевич, Группа 202
Громов Илья Сергеевич, Группа 201
Коваленко Елена Викторовна, Группа 202
